epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,285.116,1.51796,2.36426,1.70095,0.44016,0.48,0.45751,0.21054,1.75281,2.85931,2.05494,0.000653595,0.000653595,0.000653595
2,594.697,1.4276,1.73615,1.60413,0.43337,0.55,0.46108,0.16536,2.02248,3.17967,2.61198,0.00129412,0.00129412,0.00129412
3,923.304,1.53448,1.58881,1.66823,0.31466,0.33,0.18154,0.06624,2.63364,4.27921,2.73154,0.00190825,0.00190825,0.00190825
4,1298.86,1.48682,1.42671,1.61942,0.18624,0.17,0.09956,0.02451,2.85664,5.28631,4.20126,0.0018812,0.0018812,0.0018812
5,1647.72,1.4386,1.28109,1.57636,0.69276,0.78919,0.77714,0.42869,1.32016,1.44754,1.63575,0.0018416,0.0018416,0.0018416
